中文名称,英文名称
反式-2-己烯酸乙酯,Ethyl trans-2-hexenoate
己酸丙酯,Propyl hexanoate
己酸戊酯,Amyl hexanoate
己酸异戊酯,Isoamyl hexanoate
己酸己酯,Hexyl hexanoate
己酸顺式-3-己烯酯(又名己酸叶醇酯),cis-3-Hexenyl hexanoate (Leaf hexanoate)
庚酸乙酯,Ethyl heptanoate
庚酸丙酯,Propyl heptanoate
庚酸丁酯,Butyl heptanoate
2-甲基-3-巯基呋喃,2-Methyl-3-furanthiol
辛酸甲酯,Methyl caprylate
辛酸乙酯,Ethyl caprylate
顺式-4-辛烯酸乙酯,Ethyl cis-4-octenoate
顺式-4,7-辛二烯酸乙酯,Ethyl cis-4,7-octadienoate
辛酸异戊酯,Isoamyl octanoate
辛酸壬酯,Nonyl octanoate
辛酸苯乙酯,Phenethyl octanoate
2-壬烯酸甲酯,Methyl 2-nonenoate
壬酸乙酯,Ethyl nonanoate
癸酸乙酯,Ethyl decanoate
反式-2-顺式-4-癸二烯酸乙酯,Ethyl trans-2,cis-4-decadienoate
十二酸乙酯(又名月桂酸乙酯),Ethyl dodecanoate (Ethyl laurate)
十四酸甲酯(又名肉豆蔻酸甲酯),Methyl tetradecanoate (Methtyl myristate)
苯甲酸甲酯,Methyl benzoate
苯甲酸乙酯,Ethyl benzoate
苯甲酸丙酯,Propyl benzoate
苯甲酸己酯,Hexyl benzoate
苯甲酸苄酯,Benzyl benzoate
苯甲酸顺式-3-己烯酯(又名苯甲酸叶醇酯),cis-3-Hexenyl benzoate (Leaf benzoate)
邻氨基苯甲酸甲酯,Methyl anthranilate
苯乙酸甲酯,Methyl phenylacetate
苯乙酸乙酯,Ethyl phenylacetate
苯乙酸异戊酯,Isoamyl phenylacetate
苯乙酸苯乙酯,Phenethyl phenylacetate
惕各酸乙酯,Ethyl tiglate
惕各酸苄酯,Benzyl tiglate
乳酸乙酯,Ethyl lactate
乳酸丁酯,Butyl lactate
肉桂酸甲酯,Methyl cinnamate
肉桂酸乙酯,Ethyl cinnamate
肉桂酸苄酯,Benzyl cinnamate
肉桂酸苯乙酯,Phenethyl cinnamate
肉桂酸肉桂酯,Cinnamyl cinnamate
水杨酸甲酯(又名柳酸甲酯),Methyl salicylate
水杨酸乙酯(又名柳酸乙酯),Ethyl salicylate
水杨酸异戊酯(又名柳酸异戊酯),Isoamyl salicylate
十四酸乙酯(又名肉豆蔻酸乙酯),Ethyl tetradecanoate (Ethyl myristate)
油酸乙酯,Ethyl oleate
棕榈酸乙酯,Ethyl palmitate
二氢茉莉酮酸甲酯,Methyl dihydrojasmonate
椰子油混合酸乙酯,Ethyl ester of coconut oil mixed acid
柠檬酸三乙酯,Triethyl citrate
甲酸大茴香酯,Anisyl formate
甲酸顺式-3-己烯酯(又名甲酸叶醇酯),cis-3-Hexenyl formate (Leaf formate)
乙酸2-甲基丁酯,2-Methylbutyl acetate
乙酸3-苯丙酯,3-Phenylpropyl acetate
乙酸丁香酯,Eugenyl acetate
4,5-二甲基-2-异丁基-3-噻唑啉,4,5-Dimethyl -2-isobutyl-3-thiazoline
乙酸异胡薄荷酯,Isopulegyl acetate
乙酸1,3,3-三甲基-2-降龙脑酯,1,3,3-Trimethyl-2-norbornanyl acetate
丙酸甲酯,Methyl propionate
丙烯酸乙酯,Ethyl acrylate
乳酸顺式-3-己烯酯(又名乳酸叶醇酯),cis-3-Hexenyl lactate (Leaf lactate)
丙酸癸酯,Decyl propionate
反式-2-丁烯酸乙酯,Ethyl trans-2-butenoate
丁酸丙酯,Propyl butyrate
异丁酸异丙酯,Isopropyl isobutyrate
2-甲基丁酸异丙酯,Isopropyl 2-methylbutyrate
异丁酸己酯,Hexyl isobutyrate
丁酸庚酯,Heptyl butyrate
异丁酸辛酯,Octyl isobutyrate
异丁酸-3-苯丙酯,3-Phenylpropyl isobutyrate
丁酸香茅酯,Citronellyl butyrate
丁酸肉桂酯,Cinnamyl butyrate
异戊酸甲酯,Methyl isovalerate
异戊酸异丁酯,Isobutyl isovalerate
异戊酸2-甲基丁酯,2-Methylbutyl isovalerate
异戊酸苄酯,Benzyl isovalerate
2-戊基吡啶,2-Pentylpyridine
异戊酸肉桂酯,Cinnamyl isovalerate
异戊酸薄荷酯,Menthyl isovalerate
3-己烯酸甲酯,Methyl 3-hexenoate
正己酸异丁酯,Isobutyl caproate
己酸烯丙酯,Allyl hexanoate
己酸芳樟酯,Linalyl hexanoate
3,7-二甲基-6-辛烯酸甲酯,Methyl 3,7-dimethyl-6-octenoate
3-壬烯酸甲酯,Methyl 3-nonenoate
9-十一烯酸甲酯,Methyl 9-undecenoate
十一酸乙酯,Ethyl undecanoate
十四酸异丙酯(又名肉豆蔻酸异丙酯),Isopropyl tetradecanoate (Isopropyl myristate)
N-甲基邻氨基苯甲酸甲酯,Methyl N-methylanthranilate(Dimethyl anthranilate)
邻氨基苯甲酸乙酯,Ethyl anthranilate
苯甲酸异戊酯,Isoamyl benzoate
苯甲酸苯乙酯,Phenethyl benzoate
苯乙酸异丁酯,Isobutyl phenylacetate
苯乙酸己酯,Hexyl phenylacetate
苯丙酸乙酯(又名氢化肉桂酸乙酯),Ethyl 3-phenylpropionate (Ethyl hydrocinnamate)
环己基羧酸甲酯,Methyl cyclohexanecarboxylate
大茴香酸甲酯,Methyl p-anisate
大茴香酸乙酯,Ethyl p-anisate
水杨酸苯乙酯,Phenethyl salicylate
十二酸异戊酯(又名月桂酸异戊酯),Isoamyl dodecanoate (Isoamyl laurate)
亚油酸甲酯(48%), 亚麻酸甲酯(52%)混合物,Methyl linoleate (48%) methyl linolenate (52%) mixture
茉莉酮酸甲酯,Methyl jasmonate
水杨酸苄酯(又名柳酸苄酯),Benzyl salicylate
肉桂酸异丁酯,Isobutyl cinnamate
肉桂酸3-苯丙酯,3-Phenylpropyl cinnamate
酒石酸二乙酯,Diethyl tartrate
菸酸甲酯,Methyl nicotinate
惕各酸苯乙酯,Phenethyl tiglate
3-乙酰基-2,5-二甲基噻吩,3-Acetyl-2,5-dimethylthiophene
3,5,5-三甲基-1-己醇,3,5,5-Trimethyl-1-hexanol
丁酸茴香酯,Anisyl butyrate
异戊酸龙脑酯,Bornyl isovalerate
2,6-二甲基-4-庚醇,2,6-Dimethyl-4-heptanol
苯甲酸异丁酯,Isobutyl benzoate
甲酸橙花酯,Neryl formate
乙酸甲基苄醇酯(邻、间、对位混合物),Methylbenzyl acetate(mixed o-,m-,p-)
乙酸顺式和反式-对1,（7）8-[艹孟]二烯-2-醇酯[又名乙酸顺式和反式-对1,（7）8-薄荷二烯-2-醇酯],cis-and-trans-p-1,(7)8-Menthadien-2-yl acetate
乙酸龙脑烯醇酯,Campholene acetate
丙酸丙酯,Propyl propionate
丙酸丁酯,Butyl propionate
丙酸己酯,Hexyl propionate
丙酮酸乙酯,Ethyl pyruvate
丁酸辛酯,Octyl butyrate
异丁酸丙酯,n-Propyl isobutyrate
异丁酸异丁酯,Isobutyl isobutyrate
异丁酸香茅酯,Citronellyl isobutyrate
反式-2-丁烯酸顺式-3-己烯酯(又名反式-2-丁烯酸叶醇酯),(Z)-3-Hexenyl(E)-2-butenoate [Leaf (E)-2-butenoate]
丁二酸单薄荷酯(又名琥珀酸单薄荷酯),Diethyl butanedioate (Momo-menthyl succinate)
正戊酸正戊酯,Pentyl valerate
异戊酸辛酯,Octyl isovalerate
己酸丁酯,Butyl hexanoate
己酸苯乙酯,Phenethyl hexanoate
异丁酸叶醇酯(又名顺式-3-己烯醇异丁酸酯),Leaf isobutyrate [(Z)-3-Hexenyl isobutyrate]
辛酸己酯,Hexyl octanoate
2-辛烯酸乙酯,Ethyl 2-octenoate
2,4,7-癸三烯酸乙酯,Ethyl 2,4,7-decatrienoate
苯甲酸芳樟酯,Linalyl benzoate
反式-2-甲基2-丁烯酸顺式-3-己烯酯(又名惕各酸叶醇酯),(Z)-3-Hexenyl (E)-2-methyl2-butenoate (Leaf tiglate)
2-丁烯酸异丁酯,Isobutyl 2-butenoate
3-甲基丁酸己酯,Hexyl 3-methyl butanoate
顺式-3-己烯酸顺式-3-己烯酯(又名顺式-3-己烯酸叶醇酯),cis-3-Hexenyl cis-3-hexenoate (Leaf cis-3-hexenoate)
3-羟基己酸甲酯,Methyl 3-hydroxyhexanoate
苯甲酸香叶酯,Geranyl benzoate
琥珀酸二甲酯,Dimethyl succinate
硬脂酸乙酯,Ethyl stearate
3-甲基-2-丁烯-1-醇乙酸酯(又名乙酸异戊烯酯),3-Methyl-2-buten-1-ol acetate (Prenyl acetate)
己酸反式-2-己烯酯,trans-2-Hexenyl hexanoate
甲酸龙脑酯,Bornyl formate
顺式-4-庚烯酸乙酯,Ethyl (Z)-hept-4-enoate
辛酸戊酯,Amyl octanoate
4-甲基戊酸甲酯,Methyl 4-methylvalerate
乙酸胡椒醛酯,Heliotropin acetate
丙酸肉桂酯,Cinnamyl propionate
异丁酸甲基苯基原酯(又名异丁酸苏合香酯),Methyl phenyl carbinyl isobutyrate (Styrallyl isobutyrate)
异丁酸十二酯,Dodecyl isobutyrate
异丁酸松油酯,Terpinyl isobutyrate
水杨酸异丁酯,Isobutyl salicylate
肉桂酸异戊酯,Isoamyl cinnamate
乙酸异龙脑酯,Isobornyl acetate
γ-戊内酯,γ-Valerolactone
γ-己内酯,γ-Hexalactone
γ-庚内酯,γ-Heptalactone
γ-辛内酯,γ-Octalactone
γ-壬内酯,γ-Nonalactone
γ-癸内酯,γ-Decalactone
γ-十二内酯,γ-Dodecalactone
γ-丁内酯,γ-Butyrolactone
δ-己内酯,δ-Hexalactone
δ-辛内酯,δ-Octalactone
δ-壬内酯,δ-Nonalactone
δ-癸内酯,δ-Decalactone
δ-十一内酯,δ-Undecalactone
δ-十二内酯,δ-Dodecalactone
十五内酯,Pentadecanolide
5-羟基-2-癸烯酸δ-内酯,5-Hydroxy-2-decenoic acid δ-lactone (Cocolactone)
3-丙叉苯酞,3-Propylidenephthalide
3-丁叉苯酞,3-Butylidenephthalide
薄荷内酯,Mintlactone
δ-十三内酯,δ-Tridecalactone
δ-十四内酯,δ-Tetradecalactone
5-羟基-2,4-癸二烯酸内酯(又名6-戊基-α-吡喃酮),5-Hydroxy-2,4-decadienoic acid lactone (6-Pentyl-α-pyrone)
5-羟基-7-癸烯酸内酯(又名茉莉内酯),5-Hydroxy-7-decenoic acid lactone (Jasmine lactone)
威士忌内酯,Whiskey lactone
二氢猕猴桃内酯[又名(+/-)-2,6,6-三甲基-2-羟基环亚己基乙酸γ-内酯],Dihydroactinidiolide [(+/-)-(2,6,6-Trimethyl-2-hydroxycyclohexylidene)acetic acid γ-lactone]
黄葵内酯,Ambrettolide
α-当归内酯,α-Angelica lactone
γ-甲基癸内酯,γ-Methyldecalactone
β-石竹烯,β-Caryophyllene
巴伦西亚橘烯,Valencene
月桂烯,Myrcene
d-苧烯,d-Limonene
异松油烯,Terpinolene
罗勒烯,Ocimene
莰烯,Camphene
α-蒎烯,α-Pinene
β-蒎烯,β-Pinene
1,8-桉叶素,1,8-Cineole
1,4-桉叶素,1,4-Cineole
二氢香豆素,Dihydrocoumarin
1,4-二甲基-4-乙酰基-1-环己烯,1,4-Dimethyl-4-acetyl-1-cyclohexene
2-甲酰基-6,6-二甲基双环[3.1.1]庚-2-烯(又名桃金娘烯醛),2-Formyl-6,6-dimethylbicyclo[3.1.1]-hept-2-ene (Myrtenal)
茶螺烷[又名1-氧杂螺-(4,5)-2,6,10,10-四甲基-6-癸烯],Theaspirane [2,6,10,10-Tetramethyl-1-oxaspiro(4,5)-dec-6-ene]
1,3,5-十一碳三烯,1,3,5-Undecatriene
对,α-二甲基苯乙烯,p, α-Dimethylstyrene
α-水芹烯,α-Phellandrene
红没药烯,Bisabolene
γ-松油烯,γ-Terpinene
6-羟基二氢茶螺烷,6-Hydroxydihydrotheaspirane
1-甲基-3-甲氧基-4-异丙基苯,1-Methyl-3-methoxy-4-isopropylbenzene
间-二甲氧基苯,m-Dimethoxybenzene
对-异丙基甲苯,p-Cymene
3,4-二甲酚,3,4-Dimethylphenol
1-甲基萘,1-Methylnaphthalene
1,2-二甲氧基苯,1,2-Dimethoxybenzene
α-金合欢烯,α-Farnesene
苏合香烯,Styrene
α-松油烯,α-Terpinene
3-蒈烯,3-Carene
聚苧烯,Polylimonene
香菇素,Lenthionine
氧化石竹烯,Caryophyllene oxide
2,4,6-三甲基-1,3,5-三氧杂环己烷(又名三聚乙醛),2,4,6-Trimethyl-1,3,5-trioxacyclohexane (Paraldehyde)
甲硫醇,Methyl mercaptan
3-甲硫基丙醇,3-(Methylthio)propanol
正丁硫醇,1-Butanethiol
2-甲基-1-丁硫醇,2-Methyl-1-butanethiol
3-(甲硫基)-1-己醇,3-(Methylthio)-1-hexanol
1,6-己二硫醇,1,6-Hexanedithiol
糠基硫醇(又名咖啡醛),Furfuryl mercaptan
二甲基硫醚,Dimethyl sulfide
二甲基二硫醚,Dimethyl disulfide
二甲基三硫醚,Dimethyl trisulfide
二丁基硫醚,Dibutyl sulfide
2,2'-(硫代二亚甲基)-二呋喃二糠基硫醚,2,2'-(Thiodimethylene)-difuran2-Furfuryl monosufideBis(2-furfuryl)sulfideDifurfuryl sulphide
二糠基二硫醚,Difurfuryl disulphide
邻-甲硫基苯酚,o-(Methylthio)-phenol
3-甲硫基丙醛,3-(Methylthio)propionaldehyde
8-巯基薄荷酮,p-Mentha-8-thiol-3-one
硫代乙酸糠酯,Furfuryl thioacetate
3-甲硫基丙酸甲酯,Methyl 3-methylthiopropionate
3-甲硫基丙酸乙酯,Ethyl 3-methylthiopropionate
吲哚,Indole
三甲基胺,Trimethylamine
玫瑰醚,Rose oxide
羟基香茅醇,Hydroxycitronellol
3,5-二甲基-1,2,4-三硫杂环戊烷,3,5-Dimethyl-1,2,4-trithiolane
2-甲基吡嗪,2-Methylpyrazine
2,3-二甲基吡嗪,2,3-Dimethylpyrazine
2,5-二甲基吡嗪,2,5-Dimethylpyrazine
2,3,5-三甲基吡嗪,2,3,5-Trimethylpyrazine
对-甲苯基乙醛,p-Tolylacetaldehyde
2,6,6-三甲基-1或2-环己烯-1-甲醛,2,6,6-Trimethyl-1 or 2-cyclohexen-1-carboxaldehyde
2-异丁基-3-甲基吡嗪,2-Isobutyl 3-methylpyrazine
2-甲氧基-3-仲丁基吡嗪,2-Methoxy-3-sec-butylpyrazine
2,3-二乙基吡嗪,2,3-Diethylpyrazine
3-乙基-2,6-二甲基吡嗪,3-Ethyl-2,6-dimethylpyrazine
2-乙酰基吡嗪,Acetylpyrazine
2-乙酰基-3-乙基吡嗪,2-Acetyl-3-ethylpyrazine
2,3-二乙基-5-甲基吡嗪,2,3-Diethyl-5-methylpyrazine
5-异丙基-2-甲基吡嗪,5-Isopropyl-2-methylpyrazine
2,6-二甲基吡啶,2,6-Dimethylpyridine
4-甲基噻唑,4-Methylthiazole
α-甲基肉桂醛,α-Methylcinnamaldehyde
5-羟乙基-4-甲基噻唑,5-Hydroxyethyl-4-methylthiazole
2,4,5-三甲基噻唑,2,4,5-Trimethylthiazole
2-乙基-4-甲基噻唑,2-Ethyl-4-methylthiazole
5-乙烯基-4-甲基噻唑,4-Methyl-5-vinylthiazole
2-乙酰基噻唑,2-Actylthiazole
2-异丙基-4-甲基噻唑,2-Isopropyl-4-methylthiazole
2-异丁基噻唑,2-Isobutylthiazole
苯并噻唑,Benzothiazole
N-糠基吡咯,N-Furfuryl pyrrole
2-乙酰基吡咯,2-Acetylpyrrole
5,6,7,8-四氢喹f啉,5,6,7,8-Tetrahydroquinoxaline
2,4,5-三甲基-3-噁唑啉,2,4,5-Trimethyl-3-oxazoline
2-甲基-4-丙基-1,3-f唑烷,2-Methyl-4-propyl-1,3-oxathiane
吡啶,Pyridine
二丙基二硫醚,Propyl disulfide
2-戊基硫醇,2-Pentanethiol
邻-甲基苯硫酚,o-Toluenethiol
苄基硫醇,Benzyl mercaptan
1-对-[艹孟]烯-8-硫醇（又名1-对-薄荷烯-8-硫醇）,1-p-Menthene-8-thiol
甲基丙基二硫醚,Methyl propyl disulfide
甲基苄基二硫醚,Methyl benzyl disulfide
甲基糠基二硫醚,Methyl furfuryl disulfide
烯丙基二硫醚,Allyl disulfide
双(2-甲基-3-呋喃基)二硫醚,Bis(2-methyl-3-furyl)disulfide
糠基甲基硫醚,Furfuryl methyl sulfide
2,6-二甲基苯硫酚,2,6-Dimethylthiophenol
2-甲基-3(2-呋喃基)丙烯醛,2-Methyl-3(2-furyl)acrolein
2-甲基四氢噻吩-3-酮,2-Methyltetrahydrothiophen-3-one
2-甲基-5-(甲硫基)呋喃,2-Methyl-5-(methylthio)furan
2-羟基-3,5,5-三甲基-2-环己烯酮,2-Hydroxy-3,5,5-trimethyl-2-cyclohexenone
糠酸甲酯,Methyl 2-furoate
硫代乙酸乙酯,Ethyl thioacetate
硫代乙酸丙酯,Propyl thioacetate
3-巯基丙酸乙酯,Ethyl 3-mercaptopropionate
硫代丁酸甲酯,Methyl thiobutyrate
异硫氰酸烯丙酯,Allyl isothiocyanate
2-硫代糠酸甲酯,Methyl 2-thiofuroate
3-甲基-1,2,4-三噻烷,3-Methyl-1,2,4-trithiane
2,3,5,6-四甲基吡嗪,2,3,5,6-Tetramethylpyrazine
2-乙基吡嗪,2-Ethylpyrazine
2-乙基-3,(5或6)-二甲基吡嗪,2-Ethyl-3(5 or 6)-dimethylpyrazine
2-甲氧基-3-异丁基吡嗪,2-Methoxy-3-isobutylpyrazine
1-甲基-2-乙酰基吡咯,1-Methyl-2-acetylpyrrole
N-乙基-2-乙酰基吡咯,1-Ethyl-2-acetylpyrrole
喹啉,Quinoline
6-甲基喹啉,6-Methylquinoline
5-甲基喹f啉,5-Methylquinoxaline
哌啶,Piperidine
β-甲基吲哚,β-Methylindole
5-乙基-2-甲基吡啶,5-Ethyl-2-methylpyridine
3-乙基吡啶,3-Ethylpyridine
2-乙酰基吡啶,2-Acetylpyridine
3-乙酰基吡啶,3-Acetylpyridine
甲酸肉桂酯,Cinnamyl formate
异戊胺,Isopentylamine
苯乙胺,Phenethylamine
2-甲基-1,3-二硫环戊烷,2-Methyl-1,3-dithiolane
6-乙酰氧基二氢茶螺烷,6-Acetoxydihydrotheaspirane
4,5-二甲基噻唑,4,5-Dimethyl thiazole
3-巯基己醇,3-Mercaptohexanol
三硫丙酮,Trithioacetone
2,6-二甲基吡嗪,2,6-Dimethylpyrazine
2-(甲硫基)乙酸乙酯,Ethyl 2-(methylthio) acetate
乙酸3-巯基己酯,3-Mercaptohexyl acetate
2-(甲基二硫基)丙酸乙酯,Ethyl 2-(methyldithio) propionate
3-(甲硫基)丁酸乙酯,Ethyl 3-(methylthio) butyrate
丁酸3-巯基己酯,3-Mercaptohexyl butyrate
己酸3-巯基己酯,3-Mercaptohexyl hexanoate
糠醇,Furfuryl alcohol
四氢糠醇,Tetrahydro furfuryl alcohol
牛磺酸(又名2-氨基乙基磺酸),Taurine (2-Aminoethylsulfonic Acid)
2-乙基-3-甲基吡嗪,2-Ethyl-3-Methylpyrazine
3-甲基-2-丁硫醇,3-Methyl-2-butanethiol
2-甲基-3-四氢呋喃硫醇,2-Methyl-3-tetrahydrofuranthiol
丙硫醇,Propanethiol
1,3-丙二硫醇,1,3-Propanedithiol
烯丙基硫醇(又名2-丙烯基-1-硫醇),Allyl mercaptan (2- propen -1-thiol)
4-甲氧基-2-甲基-2-丁硫醇,4-Methoxy-2-methyl-2-butanethiol
2-苯乙硫醇,2-Phenylethyl mercaptan
3-巯基-3-甲基-1-丁醇,3-Mercapto-3-methyl-1-butanol
甲基2-甲基-3-呋喃基二硫醚,Methyl 2-methyl-3-furyl disufide
甲基乙基硫醚,Methyl ethyl sulfide
甲基苯基二硫醚,Methyl phenyl disulfide
二乙基硫醚,Diethyl sulfide
二丙基三硫醚,Dipropyl trisulfide
丙烯基丙基二硫醚,Propenyl propyl disulfide
二烯丙基硫醚,Allyl sulfide
二烯丙基三硫醚,Diallyl trisulfide
二烯丙基四硫醚(又名二烯丙基聚硫醚),Diallyl tetrasulfide (Diallyl polysulfide)
2-甲硫甲基-2-丁烯醛,2-(Methylthio)methyl-2-butenal
3-甲硫基己醛,3-Methylthio hexanal
乙酸环己酯,Cyclohexyl acetate
邻-氨基苯乙酮,o-Amino acetophenone
2-甲基-3-甲硫基呋喃,2-Methyl-3-(methylthio) furan
甲酸3-巯基3-甲基丁酯,3-Mercapto-3-methyl-butyl formate
乙酸3-甲硫基丙酯,3-(Methylthio) propyl acetate
3-甲基硫代丁酸S-甲酯(又名异戊酸甲硫醇酯),S-Methyl 3-methylbutanethioate (Methylthiol isovalerate)
甲硫磺酸S-甲酯,S-Methyl methanethiosulfonate
2-甲硫基丁酸甲酯,Methyl 2-methythio butyrate
3-甲硫基-1-己醇乙酸酯,3-(Methylthio)-1-hexyl acetate
甲硫醇乙酸酯,S-methyl thioacetate
(5H)-5-甲基-6,7-二氢环戊基并(b)吡嗪,(5H)-5-Methyl-6,7-dihydro-cyclopenta(b) pyrazine
2-甲氧基吡嗪,2-Methoxypyrazine
2-,5或6-甲氧基-3-甲基吡嗪,2-,5 or 6-Methoxy-3-methylpyrazine
2-乙酰基-3,5（或6）-二甲基吡嗪,2-Acetyl-3,5(or 6)dimethyl pyrazine
2-乙酰基3-甲基吡嗪,2-Acetyl 3-methyl pyrazine
四氢吡咯(吡咯烷),Tetrahydropyrrole (Pyrrolidine)
2-异丁基吡啶,2-Isobutyl pyridine
2-乙基-4,5-二甲基f唑,2-Ethyl-4,5-dimethyloxazole
硫化铵,Ammonium sulfide
2-巯基丙酸乙酯,Ethyl 2-mercaptopropionate
N-(4-羟基-3-甲氧基苄基)壬酰胺,N-(4-Hydroxy-3-methoxybenzyl)-nonanamide
1,4-二噻烷,1,4-Dithiane
桃金娘烯醇,Myrtenol
胡椒碱,Piperine
2,3-二甲基苯并呋喃,2,3-Dimethylbenzofuran
4-羟基-5-甲基-3(2H)-呋喃酮,4-Hydroxy-5-methyl-3-(2H)-furanone
γ-紫罗兰酮,γ-Ionone
α-二氢紫罗兰酮,Dihydro-Alpha-ionone
d-胡椒酮(又名对-[艹孟]-1-烯-3-酮),d-Piperitone (p-menth-1-en-3-one)
胡椒烯酮(又名对䓝-1,4(8)-二烯-3-酮),Piperitenone (p-Mentha-1,4(8)-dien-3-one)
L-天冬氨酸,L-Aspartic acid
DL-异亮氨酸,DL-Isoleucine
焦木酸提取物,Pyroligneous acid extract
乙酸钠（又名醋酸钠）,Sodium acetate
双乙酸钠（又名二醋酸钠）,Sodium diacetate
琥珀酸二钠,Disodium succinate
5'-鸟苷酸二钠,Disodium 5’-guanylate
5'-肌苷酸二钠,Disodium 5’-inosinate
磷酸三钙,Tricalcium phosphate
δ-十六内酯,δ-Hexadecalactone
(+/-)二氢薄荷内酯,(+/-)Dihydromintlactone
顺式-4-十二烯醛,(Z)-4-Dodecenal
4,5-环氧反式-2-癸烯醛,4,5-Epoxy trans-2-decenal
2-乙基-5-甲基吡嗪,2-Ethyl-5-methylpyrazine
顺式-3-顺式-6-壬二烯-1-醇,cis-3-cis-6-Nonadien-1-ol
2-甲基-1-丁醇,2-Methyl-1- butanol
异龙脑,Isoborneol
2-壬醇,2-Nonanol
